30240000	0	0	0	0	0	0	0.00908173	0.00230653	0.00468922	0.000108418	0.00843318	0.00124504
30244000	0.00619739	-0.00188953	0.0275659	0.021856	0.00254187	0.00215558	0.0089865	0.00232395	0.00503165	0.000159819	-0.00781458	0.00123116
30248000	0.00638151	-0.00182543	0.0278267	0.0218551	0.00245077	0.00226616	-0.00177227	0.00231514	0.0036663	0.000174342	0.00161656	0.00124015
30252000	0.00638151	-0.00182543	0.0278267	0.0218551	0.00245077	0.00226616	-0.00177227	0.00231514	0.0036663	0.000174342	0.00161656	0.00124015
30256000	0.00662519	-0.00176089	0.0280786	0.0218626	0.00256912	0.00240476	0.00219885	0.00232123	0.00202219	0.000218446	-0.00207933	0.00123956
30260000	0.00662519	-0.00176089	0.0280786	0.0218626	0.00256912	0.00240476	0.00219885	0.00232123	0.00202219	0.000218446	-0.00207933	0.00123956
30264000	0.00681461	-0.00169658	0.0281792	0.0218775	-0.0114243	0.00251368	-0.0856984	0.00198469	-0.270166	-0.000852534	-0.000610323	0.00116396
30268000	0.00681461	-0.00169658	0.0281792	0.0218775	-0.0114243	0.00251368	-0.0856984	0.00198469	-0.270166	-0.000852534	-0.000610323	0.00116396
30272000	0.00784363	-0.00161677	0.0283494	0.0217876	-0.0543128	0.00236724	-0.249537	0.000333116	-0.669608	-0.00537087	0.0164582	0.00126256
30276000	0.00784363	-0.00161677	0.0283494	0.0217876	-0.0543128	0.00236724	-0.249537	0.000333116	-0.669608	-0.00537087	0.0164582	0.00126256
30280000	0.0087519	-0.00153039	0.0282811	0.0217073	-0.103864	0.00187815	-0.396256	-0.00256835	-1.07337	-0.0132132	0.0111776	0.00137909
30284000	0.0087519	-0.00153039	0.0282811	0.0217073	-0.103864	0.00187815	-0.396256	-0.00256835	-1.07337	-0.0132132	0.0111776	0.00137909
30288000	0.010318	-0.00143602	0.0276197	0.0216327	-0.159471	0.000962404	-0.482667	-0.00632555	-1.3187	-0.0234534	0.0310288	0.001649
30292000	0.010318	-0.00143602	0.0276197	0.0216327	-0.159471	0.000962404	-0.482667	-0.00632555	-1.3187	-0.0234534	0.0310288	0.001649
30296000	0.013877	-0.00132322	0.0262494	0.0215585	-0.217697	-0.00041249	-0.592771	-0.0108438	-1.50385	-0.0351082	0.00735402	0.00187173
30300000	0.013877	-0.00132322	0.0262494	0.0215585	-0.217697	-0.00041249	-0.592771	-0.0108438	-1.50385	-0.0351082	0.00735402	0.00187173
30304000	0.0192435	-0.0011761	0.0236441	0.021477	-0.276618	-0.00222339	-0.631633	-0.0157839	-1.48943	-0.0470885	0.0150562	0.00210263
30308000	0.0192435	-0.0011761	0.0236441	0.021477	-0.276618	-0.00222339	-0.631633	-0.0157839	-1.48943	-0.0470885	0.0150562	0.00210263
30312000	0.0262233	-0.000980565	0.0211699	0.0213819	-0.334587	-0.00450776	-0.62188	-0.0207994	-1.30798	-0.0579113	0.0146727	0.00242351
30316000	0.0262233	-0.000980565	0.0211699	0.0213819	-0.334587	-0.00450776	-0.62188	-0.0207994	-1.30798	-0.0579113	0.0146727	0.00242351
30320000	0.0345113	-0.000725362	0.0173452	0.02127	-0.392084	-0.00725819	-0.581746	-0.0255567	-1.03655	-0.0665466	0.0266536	0.00284753
30324000	0.0345113	-0.000725362	0.0173452	0.02127	-0.392084	-0.00725819	-0.581746	-0.0255567	-1.03655	-0.0665466	0.0266536	0.00284753
30328000	0.0436953	-0.000401085	0.0137314	0.0211355	-0.446502	-0.010436	-0.491821	-0.0297316	-0.532833	-0.0721039	0.0390434	0.00330149
30332000	0.0436953	-0.000401085	0.0137314	0.0211355	-0.446502	-0.010436	-0.491821	-0.0297316	-0.532833	-0.0721039	0.0390434	0.00330149
30336000	0.0532897	-2.84116e-06	0.0101216	0.0209798	-0.499227	-0.0140453	-0.375332	-0.0330032	-0.104535	-0.0737839	0.0509536	0.0037423
30340000	0.0532897	-2.84116e-06	0.0101216	0.0209798	-0.499227	-0.0140453	-0.375332	-0.0330032	-0.104535	-0.0737839	0.0509536	0.0037423
30344000	0.0629398	0.000471107	0.00553587	0.0207992	-0.552766	-0.0180835	-0.224813	-0.0351739	0.329617	-0.0721295	0.037654	0.00399768
30348000	0.0629398	0.000471107	0.00553587	0.0207992	-0.552766	-0.0180835	-0.224813	-0.0351739	0.329617	-0.0721295	0.037654	0.00399768
30352000	0.0725629	0.0010215	0.000606153	0.0205866	-0.606518	-0.0225458	-0.151993	-0.0366051	0.47576	-0.0686489	0.04673	0.00425324
30356000	0.0725629	0.0010215	0.000606153	0.0205866	-0.606518	-0.0225458	-0.151993	-0.0366051	0.47576	-0.0686489	0.04673	0.00425324
30360000	0.081513	0.00164454	-0.00385856	0.0203438	-0.660452	-0.0274435	-0.081145	-0.0373596	0.576559	-0.0640931	0.0409011	0.00443587
30364000	0.081513	0.00164454	-0.00385856	0.0203438	-0.660452	-0.0274435	-0.081145	-0.0373596	0.576559	-0.0640931	0.0409011	0.00443587
30368000	0.0904681	0.00233796	-0.0087675	0.0200702	-0.713947	-0.032777	-0.00138312	-0.0375715	0.472765	-0.0599277	0.0606321	0.0047099
30372000	0.0904681	0.00233796	-0.0087675	0.0200702	-0.713947	-0.032777	-0.00138312	-0.0375715	0.472765	-0.0599277	0.0606321	0.0047099
30376000	0.0985747	0.00313682	-0.0138056	0.0196558	-0.76654	-0.0384991	0.0436279	-0.0373657	0.234376	-0.057346	0.0419467	0.00500944
